id,word_id,sentence
1,1,Living close to a lake means we have an abundant supply of water.
2,2,"Each fall, leaves accumulate in our driveway."
3,3,Make sure your address is accurate before submittFing your online order.
4,4,Having 8AM classes means I’m accustomed to getting up early.
5,5,"When my grandmother died, I acquired her cookbook collection."
6,6,The defendant was adamant that he was innocent.
7,7,"Our house isn’t big, but it’s adequate for the two of us."
8,8,The park is adjacent to the school.
9,9,The bike seat may be too high; you’ll probably need to adjust it.
10,10,His height gives him an advantage in basketball.
11,11,My aunt is a major advocate for women’s’ rights.
12,12,I had an adverse reaction to my medication and had to stop taking it.
13,13,We should aggregate our resources to share them more easily.
14,14,The salesperson was very aggressive when trying to get us to buy the television.
15,15,The village needs to allocate funds for building the new school.
16,16,"If the ATM is broken, an alternative solution is to stop by the bank."
17,17,He’s an amateur soccer player and is still learning the rules of the game.
18,18,"When I asked the HR manager what my chances were of getting the job, she gave me a very ambiguous reply."
19,19,My son is very ambitious and hopes to be a millionaire by the time he’s thirty.
20,20,I believe we should amend our country’s tax laws.
21,21,Our new apartment has ample space for the two of us.
22,22,"The basketball player is the team’s best free thrower, so his missing both shots was an anomaly."
23,23,The annual company barbeque takes place every August.
24,24,The boy loves to antagonize his little sister by pulling her hair.
25,25,"After she got grounded, the teenager had a bad attitude for the rest of the day."
26,26,Be sure to attribute credit to your sources when writing a research paper.
27,27,Flipping a coin is an arbitrary way to make a decision.
28,28,"After you cross the bridge, there’s an arduous walk up the hill."
29,29,The mother assuaged her child’s fear of the dark.
30,30,I assumed he was rich because he worked as a lawyer.
31,31,She augments her regular salary by babysitting on the weekends.
32,32,A benefit of doing homework on Friday is that your weekend will be free.
33,33,Our neighbor berated us after we broke his window playing baseball.
34,34,The medal was bestowed upon him by the president.
35,35,He always boasts of his talents after he wins a game.
36,36,I gave him a pep talk to boost his self-esteem before his speech.
37,37,The brash man always asked inappropriate questions.
38,38,"It will only have a brief meeting, so you’ll still have plenty of time for lunch."
39,39,"After being away for so long, I expected more than her brusque greeting."
40,40,The cuckoo clock shop lets off a cacophony every hour.
41,41,I wish they would cease arguing.
42,42,Every parent in our district censured the education cuts.
43,43,Put the historical events in chronological order to make them easier to study.
44,44,"I didn’t understand the instructions, so I asked the teacher to clarify them."
45,45,The people on the street eventually coalesced into a group.
46,46,The young boy was coerced into stealing by his friends.
47,47,"Before mountain climbing, you need to be cognizant of the risks."
48,48,Water molecules show strong cohesion when they stick together.
49,49,This year Thanksgiving coincided with my birthday.
50,50,"The old building finally collapsed, leaving nothing but a pile of rubble."
51,51,The two cars collided on the freeway.
52,52,Joining a school play is a big commitment. You’ll need to practice every evening.
53,53,The Chinese community in my city is hosting a New Year celebration next week.
54,54,The mountains concealed the ocean from view.
55,55,"He believes women should be paid as much as men, and I concur."
56,56,The conflict between the two families has been going on for generations.
57,57,"You should move your plant to a bigger pot, otherwise you’ll constrain its roots."
58,58,I spend a lot of time contemplating what career I want to have.
59,59,My neighbors have been continuously blasting their music since last night.
60,60,"I told the employees that sales were down, but my boss contradicted me and said sales were actually up."
61,61,Every roommate contributes part of his paycheck to the grocery bill.
62,62,I’ve conveyed my interest in working for that company.
63,63,He always takes copious notes during class to study later on.
64,64,"Although many employees left the company, the core leadership remained."
65,65,The rust corroded the paint on my car.
66,66,Trying to carry four grocery bags at once was very cumbersome.
67,67,Our school needs to add more music courses to its curriculum.
68,68,The data from these graphs show that yearly temperatures are increasing.
69,69,"After the tree died, its wood began to decay."
70,70,He deceived me by pretending to be a millionaire.
71,71,The spy deciphered the secret code.
72,72,He made a declaration to the office that he was quitting.
73,73,1.  I declined his offer of a ride home.
74,73,2. Her health has declined ever since she turned 70.
75,74,My attempt at cake degraded into a crumbly mess.
76,75,Let me demonstrate the proper way of throwing a football.
77,76,He denied being the robber.
78,77,Your shopping sprees have depleted my savings.
79,78,Please deposit your books in the bin outside the library.
80,79,Bravery is a desirable trait for firefighters to have.
81,80,I despise early morning classes.
82,81,The police dog detected the missing child’s scent.
83,82,The warning signs on the house deterred trespassers.
84,83,I decided to deviate from my normal route home and took a shortcut.
85,84,The coach devised a plan for winning the game.
86,85,The politician went into a diatribe against her opponent.
87,86,The teacher digressed from the lecture to discuss the weather.
88,87,The student faced the dilemma of attending school sick or missing her exam.
89,88,Sprinkle baking soda on the carpet to diminish the stain.
90,89,I need to dispose of this trash.
91,90,The piece of pie I received was disproportionately small.
92,91,The protesters disrupted the politician’s speech.
93,92,The camera filter distorted the image.
94,93,Distribute the materials evenly among the class.
95,94,This city has a very diverse population.
96,95,"Because of the accident, the police had to divert traffic down a side street."
97,96,"The theater has dynamic shows, so you never know what you’ll see."
98,97,This prescription will ease your allergies.
99,98,"Now that I’m following a schedule at work, I’m much more efficient."
100,99,Our team lost the match and was eliminated from the competition.
101,100,The elite detective team were also sent for when there were big crimes.
102,101,Her eloquent writing has gained her many fans.
103,102,The teacher emphasized the due date of the project.
104,103,He has endured four knee operations so far.
105,104,The falling snow enhanced the beauty of the small village.
106,105,The duchess is the epitome of class.
107,106,Twenty-four is equivalent to two dozen.
108,107,He apologized for his erroneous statement.
109,108,Try to get an estimate of the number of people attending the concert.
110,109,"By hiding in the bathroom, we were able to evade the intruder."
111,110,"At the end of the class, every student will evaluate how well the professor taught."
112,111,These fossils are evidence of evolution.
113,112,The small school evolved into a world-class institution.
114,113,"She is an exemplary student, and you should copy her study habits."
115,114,The young boy was excluded from his friends’ soccer game.
116,115,We may not be able to get in since that club is very exclusive.
117,116,Adding air to bike tires will cause them to expand.
118,117,The surgeon’s expertise is knee surgeries.
119,118,The company exploited its workers by making them work long hours.
120,119,The emails presented exposed the company’s corruption.
121,120,"If you’re sick on the day the paper is due, the teacher may give you an extension on the due date."
122,121,The dentist extracted one of my teeth.
123,122,Millions of children in  Ethiopia died due to the famine there.
124,123,"This study plan you made for me sounds feasible, even with my work schedule."
125,124,Remember that life is finite; you’re not immortal.
126,125,I got the diamond for a reduced price since the stone had a flaw.
127,126,I’m not sure what to wear since the temperature has been fluctuating so much.
128,127,The program is going to focus on environmental issues.
129,128,The king decided to fortify the castle walls to protect them during attacks.
130,129,Skyscrapers must have a strong framework to support all the floors.
131,130,You must stop spending your money on frivolous purchases.
132,131,The function of petals is to attract insects to the plant.
133,132,Learning scales is fundamental to being a good piano player.
134,133,Be careful to avoid the gap between the two steps.
135,134,Our answering machine is so bad that people’s voices are always garbled.
136,135,"The fire generates heat, which keeps the room warm."
137,136,The actress had only one small part before she got grandiose ideas of her fame.
138,137,HIs poems contain many hackneyed phrases.
139,138,"There was no schedule, so the event was very haphazard."
140,139,Her comments on my performance were very harsh and not kind at all.
141,140,"In order to avoid the police, the robbers made a hasty retreat."
142,141,The nuclear reactor has a lot of hazardous waste.
143,142,She hesitated before entering the abandoned building.
144,143,"In the office hierarchy, the manager is higher than the associate."
145,144,Her hatred of public transportation is a hindrance when trying to get around New York City.
146,145,The dead tree is hollow.
147,146,The haunted house filled me with horror.
148,147,My ex-boyfriend’s new girlfriend was very hostile towards me.
149,148,You’ll need to conduct an experiment to test your hypothesis.
150,149,The twins were completely identical.
151,150,"Because he’d never been able to attend school, the man was illiterate."
152,151,The professor illustrated the lesson with a personal story.
153,152,His moving words had a large impact on me.
154,153,Drinking alcohol will impair your driving abilities.
155,154,We will implement the new schedule starting next semester.
156,155,My mother implied that I was the one who forgot to take out the trash.
157,156,"After the riots, the mayor imposed a curfew on the town."
158,157,These medical bills are going to impoverish me.
159,158,"I hate my job, but the big paychecks are a good incentive to stick with it."
160,159,I can’t sleep because of the dog’s incessant barking.
161,160,Don’t worry about your grade on this quiz; it’s only an incidental part of your grade.
162,161,The ringleader incited the soldiers to rebellion.
163,162,My inclination is to go to bed early.
164,163,The incompetent worker was fired from his job.
165,164,His pitching has been very inconsistent all season.
166,165,She is an indefatigable hiker and can walk all day.
167,166,She’s the indisputable star of the basketball team.
168,167,The drug was shown to be ineffective at curing cancer.
169,168,"Even if you’re healthy, death is inevitable in the end."
170,169,I inferred that she was annoyed based on her body language.
171,170,Getting a promotion has really inflated his ego.
172,171,The older sister has been a positive influence on her younger siblings.
173,172,This cleaning spray inhibits the growth of bacteria.
174,173,She was the initial president of the company.
175,174,Congress launched an inquiry after the senator was accused of taking bribes.
176,175,You can’t quit. You’re an integral part of this team.
177,176,"When making a cake, you need to fully integrate the wet and dry ingredients."
178,177,I need you to interpret this German speech for me.
179,178,"When the toddlers couldn’t share their toys, their mothers had to intervene."
180,179,The intrepid mountain climber reached the top of Mt. Everest.
181,180,The pattern on this blanket is so intricate.
182,181,We found the stranger’s questions too personal and very invasive.
183,182,The police are going to investigate the crime scene.
184,183,"Even though my grandfather seems irascible, he’s actually very loving."
185,184,"“I love spending my Friday nights doing homework,” she said with irony."
186,185,"Not sure which direction to go in, he stood irresolute."
187,186,"To be a successful doctor, you’ll need to learn a lot of medical jargon."
188,187,The newlyweds jointly opened up a bank account.
189,188,My brother has a real knack for solving tricky math problems.
190,189,Building a house requires a lot of labor.
191,190,"I stayed with the front group of runners for the first few miles, but after that I began to lag."
192,191,The cartoonist lampooned the president’s speech.
193,192,"During winter break, my plants languished since I was visiting my parents and couldn’t water them."
194,193,The professor will give a 30 minute lecture before the quiz.
195,194,I’m leery of taking the dark-looking shortcut.
196,195,The way he became mayor is completely legitimate.
197,196,The judge gave the criminal a lenient sentence due to his bad childhood.
198,197,"I don’t have much homework, so it’s likely I’ll be able to go out tonight."
199,198,His claims about me are absolutely ludicrous.
200,199,She has maintained the same weight since high school.
201,200,This test is a major part of your final grade.
202,201,He tried to manipulate the results of the election.
203,202,The store’s goal this year is to maximize its profit.
204,203,"By measuring the tree, I found it was seven feet tall."
205,204,The meal the chef made was only mediocre.
206,205,My mother will mend the hole in my shirt.
207,206,Her method for making bread takes three days.
208,207,"Every fall, the geese migrate to Florida."
209,208,You need to get a minimum of 70% on the test to pass the class.
210,209,The advertisement for the weight loss pills is very misleading since studies have shown they’re ineffective.
211,210,I need to modify my style so it looks more professional.
212,211,The boy was morose after hearing he didn’t make the football team.
213,212,The negligent babysitter invited her friends over while the children were upstairs.
214,213,I was hurt when my friend greeted me so nonchalantly.
215,214,My dog always obeys me when I ask her to sit.
216,215,The spy obtained the secret codes we need.
217,216,The large poster of Michael Jackson over her bed made it obvious who her favorite singer was.
218,217,The soccer player blocked her opponent’s shot at the goal.
219,218,For the past ten generations the royal family has oppressed the peasants by keeping them in poverty.
220,219,The explorers are trying to find the origin of the Nile.
221,220,This work of art is a paradigm of the period; you’ll see many examples of it in the museum.
222,221,The parsimonious woman only donated a dollar to charity.
223,222,"My leg was feeling much better, so I decided to partake in the soccer match."
224,223,"We can get strawberry ice cream, but I’m actually more partial to chocolate."
225,224,"During the drought, the town had a paucity of fresh water."
226,225,Winning the championship was the peak of his career.
227,226,There are some peripheral fights going on at the outdoor concert.
228,227,Let the maple syrup permeate your waffles before eating them.
229,228,"I may have lost my last six games, but I will continue to persist trying to win."
230,229,How does your question pertain to the lecture?
231,230,"In high school, I went through a phase where I only wore black clothes."
232,231,The polls show that my candidate is going to win the election.
233,232,Only take one sleeping pill since they’re very potent.
234,233,Your boyfriend is too dramatic. I think you need a more pragmatic man.
235,234,The book is the best I’ve ever read; I can’t praise it enough.
236,235,The flower girls preceded the bride when they walked down the aisle.
237,236,"When collecting data, it’s important that your measurements are very precise."
238,237,Harvard is one of the most prestigious colleges in the United States.
239,238,"If more people don’t start washing their hands, disease will become more prevalent."
240,239,Maeve’s primary goal in life is to become a doctor.
241,240,"Prior to becoming a teacher, Elena worked as a book editor."
242,241,I’m sorry for interrupting; please proceed with your speech.
243,242,The dog’s progeny all have yellow fur.
244,243,I’m promoting this new indie movie so that more people will buy tickets to it.
245,244,Dave hopes his new business will prosper and make him a millionaire.
246,245,"The twins hated to be apart, so they bought houses in close proximity to each other."
247,246,Nina and her boyfriend always quarrel over money.
248,247,The range of ages at the concert spanned from 12 to 65.
249,248,Archibald was promoted to the rank of first captain.
250,249,"After staying out too late, Grace received a rebuke from her parents."
251,250,"At the end of his speech, the politician made sure to recapitulate his main points."
252,251,"Two days after the flood, the seawater finally began to recede from our house."
253,252,I need to ask Mr. Smith if he’ll recommend me for this leadership position.
254,253,Melanie’s father is in charge of reforming to school system.
255,254,Ben needs to regulate how much he eats in order to stay at a healthy weight.
256,255,The builders reinforced the house’s wooden frame with steel beams.
257,256,Lydia rejected my invitation to the homecoming dance.
258,257,The CEO decided to release the company’s profits from last year.
259,258,I rely on coffee to get my through my mornings.
260,259,The coach reproached the players for failing to play their best.
261,260,The camping trip requires that every participant bring their own food and sleeping bag.
262,261,I’ve always resented my sister because she is my mother’s favorite child.
263,262,"Due to his declining health, the mayor decided to resign from office."
264,263,Resist the impulse to have ice cream for breakfast.
265,264,Matt resolved to get better grades next semester by studying every night.
266,265,My doctor told me to restrict myself to one glass of wine a day.
267,266,I’ve decided to retain my normal hairstyle.
268,267,1. I felt calmer after the lion retracted its claws.
269,267,"2. After numerous errors were found, the newspaper retracted the story."
270,268,Alexis got out of the car to retrieve the ball her little brother had thrown.
271,269,You aren’t expected to actually answer rhetorical questions.
272,270,The boys’ father was happy to see the base of the treehouse was rigid and sturdy.
273,271,Rotate the sculpture so I can see the other side.
274,272,A retirement fund is one way to safeguard your finances for the future.
275,273,"The judges were looking for perfection, so they scrutinized every entry."
276,274,This section of the stadium dressed completely in red.
277,275,Jane selected a blue dress to wear to the wedding.
278,276,Librarians need to know how order books in the correct sequence.
279,277,1. The robbers suffered severe consequences for stealing.
280,277,2. My uncle is currently battling a severe illness in the hospital.
281,278,You don’t need to worry about getting your dress wet. The water is very shallow here.
282,279,The empty barn gave the men shelter during the storm.
283,280,Hopefully this cream will cause my scar to shrink.
284,281,The Gettysburg Address was a significant event during the Civil War.
285,282,You shouldn’t use Wikipedia as a source when writing school papers.
286,283,The farm was almost empty; there were just a few sparse trees here and there.
287,284,You need to specify which size shirt you want before I can order it.
288,285,My sister loves to speculate on the private lives of celebrities.
289,286,The hermit lives a solitary existence deep in the mountains.
290,287,"After losing the competition, the chess players were very somber."
291,288,The mother sang a lullaby to soothe her crying baby.
292,289,The shelter was squalid and overcrowded.
293,290,We’re lucky to live in a country with such a stable government.
294,291,"With few new jobs created, the economy has remained stagnant for the past five years."
295,292,The football team will need a good strategy to win the game tomorrow.
296,293,"The first king was a good ruler, but subsequent kings have all been corrupt."
297,294,"If you don’t have sugar, honey makes a good substitute for this recipe."
298,295,Maya’s perfume was very subtle; you had to get close to her to smell it.
299,296,Make sure you have sufficient food for the camping trip.
300,297,"The class didn’t have time to read the book, so the professor summarized it for them."
301,298,"My dad didn’t think we were old enough to build the fort on our own, so he supervised us."
302,299,The king was supplanted by his treacherous younger brother who locked him in the dungeon.
303,300,1. The power outage suspended the school concert.
304,300,2. The lamp is suspended from the high ceiling.
305,301,The couple became suspicious when they saw strange men removing their neighbor’s expensive electronics during the night.
306,302,I stopped trying to sustain the friendship after he made fun of how I looked.
307,303,A cross is symbolic of Christianity.
308,304,The laptop manual is full of technical terms only a computer expert can understand.
309,305,Everyone on the train must get off at the terminal stop.
310,306,I tolerate the rude man since he is my husband’s best friend.
311,307,Ben’s work is going to transfer him from Chicago to Detroit.
312,308,The transition from student to employee can often take awhile to get used to.
313,309,1. The glass vase is completely transparent.
314,309,2. Her attempt to flatter the movie star was very transparent.
315,310,College tuition prices have gone up in recent decades.
316,311,The prince’s bodyguards had mastered the art of being unobtrusive.
317,312,Ian was lucky to walk away from the car crash unscathed.
318,313,"Even when she’s having a bad day, my mom always has an upbeat attitude."
319,314,"Since I tried my hardest on the exam, I felt my teacher’s criticism of me was unjust."
320,315,She vacillated between the two dresses before finally deciding to wear a skirt.
321,316,The soldiers had valid concerns about the battles they’d be facing.
322,317,The plane vanished behind the clouds.
323,318,
324,319,The jury delivered a guilty verdict.
325,320,The empty castle still had a few vestiges of its former wealth.
326,321,The chemist carefully filled the vial with the bubbling solution.
327,322,Mark was vilified by his angry ex-girlfriend.
328,323,The puffy wedding dress had voluminous sleeves.
329,324,I always save my money whereas my brother is constantly in debt.
330,325,The monk is wholly devoted to his faith.
331,326,There is widespread poverty across that country.
332,327,Plants will wilt if you don’t water them regularly.
